2026-04-14 13:39:35 | INFO | Inference worker thread started
2026-04-14 13:39:35 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 13:39:35 | INFO | MLX handler initialized successfully
2026-04-14 13:43:43 | INFO | Shutting down application
2026-04-14 13:43:43 | INFO | Cleaning up resources
2026-04-14 13:43:43 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 13:43:43 | INFO | Inference worker thread stopped
2026-04-14 13:43:43 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 13:43:43 | INFO | Resources cleaned up successfully
2026-04-14 13:43:52 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 13:43:52 | INFO | Server configuration complete.
2026-04-14 13:43:52 | INFO | Starting Uvicorn server...
2026-04-14 13:43:52 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 13:43:57 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 13:43:57 | INFO | Inference worker thread started
2026-04-14 13:43:57 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 13:43:57 | INFO | MLX handler initialized successfully
2026-04-14 13:53:37 | INFO | Shutting down application
2026-04-14 13:53:37 | INFO | Cleaning up resources
2026-04-14 13:53:37 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 13:53:37 | INFO | Inference worker thread stopped
2026-04-14 13:53:37 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 13:53:37 | INFO | Resources cleaned up successfully
2026-04-14 13:53:45 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 13:53:45 | INFO | Server configuration complete.
2026-04-14 13:53:45 | INFO | Starting Uvicorn server...
2026-04-14 13:53:45 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 13:53:50 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 13:53:50 | INFO | Inference worker thread started
2026-04-14 13:53:50 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 13:53:50 | INFO | MLX handler initialized successfully
2026-04-14 14:01:25 | INFO | Shutting down application
2026-04-14 14:01:25 | INFO | Cleaning up resources
2026-04-14 14:01:25 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 14:01:25 | INFO | Inference worker thread stopped
2026-04-14 14:01:25 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 14:01:25 | INFO | Resources cleaned up successfully
2026-04-14 14:01:35 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 14:01:35 | INFO | Server configuration complete.
2026-04-14 14:01:35 | INFO | Starting Uvicorn server...
2026-04-14 14:01:35 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 14:01:41 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 14:01:41 | INFO | Inference worker thread started
2026-04-14 14:01:41 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 14:01:41 | INFO | MLX handler initialized successfully
2026-04-14 14:26:06 | INFO | Shutting down application
2026-04-14 14:26:06 | INFO | Cleaning up resources
2026-04-14 14:26:06 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 14:26:06 | INFO | Inference worker thread stopped
2026-04-14 14:26:06 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 14:26:06 | INFO | Resources cleaned up successfully
2026-04-14 14:26:14 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 14:26:14 | INFO | Server configuration complete.
2026-04-14 14:26:14 | INFO | Starting Uvicorn server...
2026-04-14 14:26:14 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 14:26:19 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 14:26:19 | INFO | Inference worker thread started
2026-04-14 14:26:19 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 14:26:19 | INFO | MLX handler initialized successfully
2026-04-14 14:33:11 | INFO | Shutting down application
2026-04-14 14:33:11 | INFO | Cleaning up resources
2026-04-14 14:33:11 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 14:33:11 | INFO | Inference worker thread stopped
2026-04-14 14:33:12 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 14:33:12 | INFO | Resources cleaned up successfully
2026-04-14 14:33:47 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 14:33:47 | INFO | Server configuration complete.
2026-04-14 14:33:47 | INFO | Starting Uvicorn server...
2026-04-14 14:33:47 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 14:33:52 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 14:33:52 | INFO | Inference worker thread started
2026-04-14 14:33:52 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 14:33:52 | INFO | MLX handler initialized successfully
2026-04-14 14:37:36 | INFO | Shutting down application
2026-04-14 14:37:36 | INFO | Cleaning up resources
2026-04-14 14:37:36 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 14:37:36 | INFO | Inference worker thread stopped
2026-04-14 14:37:37 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 14:37:37 | INFO | Resources cleaned up successfully
2026-04-14 14:40:35 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 14:40:35 | INFO | Server configuration complete.
2026-04-14 14:40:35 | INFO | Starting Uvicorn server...
2026-04-14 14:40:35 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 14:40:41 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 14:40:41 | INFO | Inference worker thread started
2026-04-14 14:40:41 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 14:40:41 | INFO | MLX handler initialized successfully
2026-04-14 14:45:27 | INFO | Shutting down application
2026-04-14 14:45:27 | INFO | Cleaning up resources
2026-04-14 14:45:27 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 14:45:27 | INFO | Inference worker thread stopped
2026-04-14 14:45:28 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 14:45:28 | INFO | Resources cleaned up successfully
2026-04-14 14:45:44 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 14:45:44 | INFO | Server configuration complete.
2026-04-14 14:45:44 | INFO | Starting Uvicorn server...
2026-04-14 14:45:44 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 14:45:49 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 14:45:49 | INFO | Inference worker thread started
2026-04-14 14:45:49 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 14:45:49 | INFO | MLX handler initialized successfully
2026-04-14 15:14:41 | INFO | Resized image to 201x448 from 576x1280
